date,ticker,signal_return,rec_holding_days,buy,significance
2019-02-01,PLUG,-4.48000000,8,false,75.38030000
2019-02-01,ROP,-0.31000000,1,false,73.91620000
2019-02-01,SHEN,0.85000000,1,true,79.22380000
2019-02-01,SHEN,-7.71000000,41,true,75.65930000
2019-02-01,KKR,-1.11000000,2,false,74.84320000
2019-02-01,CLDR,-0.59000000,3,false,80.17020000
2019-02-04,RSI,-1.19000000,1,false,71.22100000
2019-02-04,RMD,7.60000000,36,true,76.84320000
2019-02-04,AEP,-0.10000000,7,false,74.20260000
2019-02-04,WY,-1.26000000,1,false,70.60030000
2019-02-04,CPK,-3.94000000,13,false,78.82870000
2019-02-04,MDRX,14.78000000,65,false,88.85440000
2019-02-04,EW,0.70000000,1,false,71.37330000
2019-02-04,WNC,7.05000000,5,false,73.95110000
2019-02-04,LCI,-8.01000000,5,false,83.75750000
2019-02-04,MTZ,11.61000000,75,true,90.27140000
2019-02-04,LANC,3.41000000,12,true,71.96420000
2019-02-04,CLX,0.35000000,23,false,71.33530000
2019-02-04,UPWK,16.75000000,2,true,70.69590000
2019-02-04,NWL,28.46000000,28,false,91.21760000
2019-02-04,TSM,-2.11000000,2,false,83.56890000
2019-02-04,EIF,29.02000000,89,true,74.45250000
2019-02-04,ONCS,0.16000000,1,false,74.63850000
2019-02-04,ITW,0.41000000,1,false,74.80510000
2019-02-04,FAST,-0.33000000,1,false,79.98550000
2019-02-04,EBS,8.58000000,15,false,74.90910000
2019-02-04,WRB,-1.25000000,1,false,73.98920000
2019-02-04,KMDA,11.00000000,69,true,74.88880000
2019-02-04,CR,31.11000000,53,true,81.13340000
2019-02-05,POWI,-7.15000000,15,false,79.29090000
2019-02-05,ENTG,-2.16000000,1,false,74.95410000
2019-02-05,ST,5.50000000,84,false,72.97330000
2019-02-05,SWK,2.64000000,3,false,73.84000000
2019-02-05,BCRX,-0.55000000,2,true,74.16000000
2019-02-05,GH,113.73000000,89,true,86.36360000
2019-02-05,SEM,11.36000000,32,false,81.26990000
2019-02-05,EHC,3.32000000,56,false,75.19500000
2019-02-05,MGM,8.51000000,40,false,71.51160000
2019-02-05,EMAN,30.95000000,77,false,76.40510000
2019-02-05,IPHI,-7.43000000,9,false,74.28570000
2019-02-05,MBUU,15.24000000,88,false,75.05140000
2019-02-05,WRI,-1.61000000,3,false,84.21410000
2019-02-05,EGRX,-0.87000000,1,true,76.24790000
2019-02-05,NOVT,4.85000000,3,false,75.04300000
2019-02-05,ACIW,-1.43000000,1,false,72.18000000
2019-02-05,RNG,0.09000000,1,false,74.05150000
2019-02-05,PPG,0.85000000,1,false,81.71410000
2019-02-05,CX,22.73000000,87,false,87.34640000
2019-02-05,BLKB,-10.95000000,7,false,88.30020000
2019-02-05,CPA,14.95000000,23,false,79.27460000
2019-02-05,ZBRA,1.38000000,3,false,71.73510000
2019-02-05,PIRS,-5.65000000,7,false,72.96130000
2019-02-05,FBM,65.28000000,79,true,72.71920000
2019-02-05,VVI,-0.46000000,4,false,74.83840000
2019-02-05,XYL,-1.16000000,1,false,73.41820000
2019-02-05,AGX,0.86000000,1,false,74.45890000
2019-02-05,CVGW,19.54000000,85,true,88.36050000
2019-02-05,NVEE,2.36000000,2,false,75.43660000
2019-02-06,AUDC,5.95000000,24,false,75.22870000
2019-02-06,PARR,0.36000000,4,true,85.68640000
2019-02-06,532488,-0.70000000,1,false,81.65030000
2019-02-06,EXK,20.70000000,71,false,82.33240000
2019-02-06,MATX,10.51000000,27,true,76.65530000
2019-02-06,UUUU,-11.11000000,63,true,80.26390000
2019-02-06,HCCI,3.72000000,86,true,87.83940000
2019-02-06,EXK,2.64000000,1,false,87.65400000
2019-02-06,ARLO,-4.40000000,67,false,96.87690000
2019-02-06,USAS,0.57000000,3,false,82.39710000
2019-02-06,SMAR,10.35000000,16,true,75.45960000
2019-02-06,EXAS,24.26000000,89,true,80.31910000
2019-02-06,HZO,1.15000000,32,true,78.13070000
2019-02-06,SSD,-10.23000000,46,false,71.94550000
2019-02-06,INDV,56.46000000,86,false,79.56570000
2019-02-06,NOG,-0.44000000,68,true,82.32390000
2019-02-06,CHEK,-18.57000000,24,false,86.36360000
2019-02-06,UEPS,10.26000000,20,true,72.46450000
2019-02-06,DHX,120.74000000,67,true,86.36360000
2019-02-06,CSR,-0.39000000,3,false,73.45330000
2019-02-06,AMBA,0.63000000,8,false,75.36220000
2019-02-06,GNRC,3.72000000,23,true,85.42280000
2019-02-06,HELE,15.51000000,85,true,74.88180000
2019-02-06,COOP,5.26000000,3,false,77.72870000
2019-02-07,FEYE,5.93000000,3,true,81.17320000
2019-02-07,HLIO,29.91000000,68,true,82.84030000
2019-02-07,CMG,-13.11000000,74,false,82.43770000
2019-02-07,SOHU,30.96000000,80,false,74.34220000
2019-02-07,LGD,3.85000000,14,false,91.38200000
2019-02-07,NHK,-21.25000000,83,false,79.35120000
2019-02-07,BL,2.21000000,3,true,76.81760000
2019-02-07,PNE,29.17000000,88,false,86.83860000
2019-02-07,TRHC,5.19000000,3,true,79.66840000
2019-02-07,RUN,-1.16000000,25,false,98.74270000
2019-02-07,AQST,10.63000000,70,false,94.95090000
2019-02-07,BBY,12.03000000,74,true,76.95520000
2019-02-07,ORLY,-4.96000000,8,false,83.11800000
2019-02-07,NCSM,-20.94000000,8,false,71.89710000
2019-02-07,IO,1.31000000,5,false,77.00810000
2019-02-07,TWST,4.69000000,1,false,73.63780000
2019-02-07,BE,-21.26000000,29,false,96.91370000
2019-02-07,NIU,-11.63000000,83,true,91.01890000
2019-02-07,PLOW,8.22000000,75,true,84.64000000
2019-02-07,SGMO,-21.42000000,16,false,71.86460000
2019-02-07,CRDF,-10.06000000,5,true,70.86000000
2019-02-07,DY,-2.24000000,1,true,79.29330000
2019-02-07,EPC,25.71000000,87,false,87.45400000
2019-02-07,IO,4.35000000,2,false,82.61780000
2019-02-07,FLO,-4.28000000,33,false,78.31110000
2019-02-07,SALM,29.83000000,74,false,84.68140000
2019-02-07,TPR,1.14000000,1,true,72.65680000
2019-02-07,SYX,-12.86000000,85,true,70.25690000
2019-02-07,PRLB,-0.65000000,30,true,93.89110000
2019-02-07,IPI,20.71000000,4,true,77.23780000
2019-02-07,PD,-17.10000000,22,false,71.95400000
2019-02-07,HSC,10.72000000,18,true,89.62070000
2019-02-07,BOOM,95.45000000,72,true,85.66670000
2019-02-07,AOI,8.59000000,5,false,77.24450000
2019-02-07,TCDA,-7.63000000,4,false,74.49780000
2019-02-07,HAIN,30.96000000,85,true,83.14540000
2019-02-07,SGMO,7.70000000,3,true,75.85550000
2019-02-07,SCPH,2.51000000,79,false,89.49000000
2019-02-07,ELY,9.39000000,63,true,81.32950000
2019-02-07,SBRA,14.82000000,17,false,75.98230000
2019-02-07,SMBK,7.89000000,82,true,81.24880000
2019-02-07,AIMC,-0.57000000,2,true,76.31550000
2019-02-07,FLGT,0.70000000,2,true,82.37320000
2019-02-07,AIMC,-1.74000000,1,true,74.99240000
2019-02-07,APTX,42.22000000,87,false,81.96460000
2019-02-07,APPF,67.05000000,89,true,74.57510000
2019-02-08,INGN,4.01000000,1,true,74.76050000
2019-02-08,SBOW,-0.80000000,2,true,74.01120000
2019-02-08,ACLS,-0.64000000,1,false,84.01970000
2019-02-08,ARA,-13.16000000,23,true,88.41660000
2019-02-08,AER,0.85000000,75,true,86.33550000
2019-02-08,FORM,-7.01000000,9,false,96.00670000
2019-02-08,ARCH,0.50000000,2,true,77.74220000
2019-02-08,ORBC,-2.23000000,2,false,74.38270000
2019-02-08,RYN,-4.20000000,15,false,72.97310000
2019-02-08,UTHR,24.88000000,73,false,74.73360000
2019-02-08,FORM,-3.15000000,30,false,74.68270000
2019-02-08,RCII,43.97000000,59,true,91.17020000
2019-02-08,GEF,0.44000000,1,true,82.56970000
2019-02-08,CLF,13.10000000,59,false,78.02220000
2019-02-08,MHK,-1.62000000,1,false,81.49470000
2019-02-08,FLDM,29.20000000,66,true,81.12480000
2019-02-08,MYO,11.11000000,18,false,88.43850000
2019-02-08,PD,-28.85000000,12,false,92.22080000
